"LABNR","C14AGE","C14STD","MATERIAL","COUNTRY","REGION","SITE","LAT","LONG","CLASS","LITHICS","POTTERY","IRON","SOURCES"
"KIA-12940",1799,27,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007; Eggert/Seidensticker 2016: 70, 81 Tab. 4.2"
"KIA-12943",631,24,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","(slag/object)","Meister 2007: 46; Eggert/Seidensticker 2016:80 Tab. 4.2"
"KIA-12949",1888,29,"-","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","object","Eggert 2002: 520; Meister 2007: 46 Tab. 1; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24743",1860,28,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007: 46; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24744",1797,28,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007: 46; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24745",1911,32,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","(slag/object)","Meister 2007; Eggert/Seidensticker 2016:80 Tab. 4.2"
"KIA-24746",1842,28,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","(slag/object)","Meister 2007; Eggert/Seidensticker 2016:80 Tab. 4.2"
"KIA-24748",156,23,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"Ib relevant dates, medium archaeological context","-","indet","object","Meister 2007: 46; Eggert/Seidensticker 2016:81 Tab. 4.2"
"Beta-182581",2190,60,"-","CMR","A","Nanga Eboko",4.65,12.39,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Beta-182582",2040,80,"-","CMR","A","Nanga Eboko",4.65,12.39,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Poz-38701",2260,30,"Charcoal_wood","CMR","A","Ndama",3.64,14.46,"Ib relevant dates, medium archaeological context","-","indet","-","Morin-Rivat et al. 2014: 212 Tab. 1"
"Hv-12845 bis",1645,90,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ib relevant dates, medium archaeological context","-","indet","-","Mbida Mindzie 2002"
"Hv-12846",1615,90,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ib relevant dates, medium archaeological context","-","indet","-","Essomba 1989; Mbida Mindzie 2002; Leka 2013: Annex 4"
"Hv-12848",1400,105,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ib relevant dates, medium archaeological context","-","indet","-","Mbida Mindzie 2002; Leka 2013: Annex 4"
"Lv-1393",1930,130,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"Ib relevant dates, medium archaeological context","-","indet","slag","Mbida Mindzie 2002; Leka 2013: Annex 4"
"LOCEAN-120",314,28,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2008; Leka 2013: Annex 4"
"LOCEAN-121",2233,25,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2008; Leka 2013: Annex 4"
"LOCEAN-123",2355,37,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2008; Leka 2013: Annex 4"
"LOCEAN-124",2327,50,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","-","indet","-","Leka 2013: Annex 4"
"LOCEAN-1245",2432,38,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","-","indet","-","Leka 2013: Annex 4"
"LOCEAN-126",2898,83,"-","CMR","A","Nditam",5.34,11.33,"Ib relevant dates, medium archaeological context","indet","indet","-","Leka 2008; Leka 2013: Annex 4"
"OBDY-1673",120,30,"-","CMR","A","Nditam Mosquée/Ndtam Moauée",5.37,11.23,"Ib relevant dates, medium archaeological context","-","indet","-","Delneuf et al. 2003: 141 Fig. 2, 144"
"Beta-182573",1930,60,"-","CMR","A","Ndjore",4.4,11.83,"Ib relevant dates, medium archaeological context","indet","indet","slag","Lavachery et al. 2010"
"Beta-182574",2020,60,"-","CMR","A","Ndjore",4.4,11.83,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery et al. 2010"
"Beta-182575",1810,60,"-","CMR","A","Ndjore",4.4,11.83,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery et al. 2010"
"Beta-182576",1870,40,"-","CMR","A","Ndjore",4.4,11.83,"Ib relevant dates, medium archaeological context","-","indet","slag","Lavachery et al. 2010"
"Beta-182577",0,0,"-","CMR","A","Ndjore",4.4,11.83,"Ib relevant dates, medium archaeological context","-","indet","slag","Lavachery et al. 2010"
"Beta-182578",1980,80,"-","CMR","A","Ndokoa",4.44,11.86,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Beta-182538",700,60,"-","CMR","A","Ndtoua",3.06,10.22,"Ib relevant dates, medium archaeological context","indet","indet","tool","Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:68, 77 Tab. 4.2"
"Beta-182540",1920,70,"-","CMR","A","Ndtoua",3.06,10.22,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Beta-182541",1910,60,"-","CMR","A","Ndtoua",3.06,10.22,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Gif-10749",580,40,"Charcoal","CMR","A","Nfeitok 1",5.57,9.37,"Ib relevant dates, medium archaeological context","-","indet","-","Oslisly et al. 2000: 345, 351 Tab. 1"
"LOCEAN-152",3357,246,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-153",2909,233,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-154",2740,76,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-155",2504,82,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-156",2723,60,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-158",2581,40,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-159",2642,42,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","indet","indet","-","Leka 2013: Annex 4"
"LOCEAN-160",2508,32,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"LOCEAN-161",2286,25,"-","CMR","A","Ngoume",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","slag","Leka 2013: Annex 4"
"OBDY-1671",2500,40,"-","CMR","A","Ngoume PK 35",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","-","Delneuf et al. 2003: 140, 141 Fig. 2; Leka 2008"
"OBDY-1680",2420,40,"-","CMR","A","Ngoume PK 35",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","-","Delneuf et al. 2003: 140, 141 Fig. 2"
"Ly-957",2335,55,"-","CMR","A","Ngoume PK 36",5.48,11.4,"Ib relevant dates, medium archaeological context","-","indet","-","Delneuf et al. 2003"
"Beta-182555",2000,40,"-","CMR","A","Ngoumou",3.6,11.32,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Ly-5456",175,40,"-","CMR","A","Nguila",4.72,11.68,"Ib relevant dates, medium archaeological context","-","indet","-","Elouga 1998: 219"
"Ly-5457",245,45,"-","CMR","A","Nguila",4.72,11.68,"Ib relevant dates, medium archaeological context","-","indet","-","Elouga 1998: 219"
"Ly-9332",150,30,"-","CMR","A","Ngweu",5.6,11.36,"Ib relevant dates, medium archaeological context","-","indet","slag","Delneuf et al. 2003: 143, 141 Fig. 2"
"Erl-12259",1886,38,"Charcoal","CMR","A","Nkpwala-Esse",2.97,12.07,"Ib relevant dates, medium archaeological context","-","indet","-","Meyer et al. 2009"
"Erl-12260",1896,38,"Charcoal_endocarp_elaeis","CMR","A","Nkpwala-Esse",2.97,12.07,"Ib relevant dates, medium archaeological context","-","indet","-","Meyer et al. 2009"
"Erl-12261",1905,39,"Charcoal","CMR","A","Nkpwala-Esse",2.97,12.07,"Ib relevant dates, medium archaeological context","-","-","slag","Meyer et al. 2009"
"Erl-12262",1953,38,"Charcoal","CMR","A","Nkpwala-Esse",2.97,12.07,"Ib relevant dates, medium archaeological context","-","-","slag","Meyer et al. 2009"
"Erl-12263",1933,39,"Charcoal","CMR","A","Nkpwala-Esse",2.97,12.07,"Ib relevant dates, medium archaeological context","-","indet","-","Meyer et al. 2009"
"Beta-156388",1900,50,"-","CMR","A","Nlendé Dibe 3",2.76,9.88,"Ib relevant dates, medium archaeological context","-","indet","-","Oslisly et al. 2006: 130; Nlend Nlend 2013/2014: 194; Eggert/Seidensticker 2016:83 Tab. 4.2"
"Poz-57846",2270,30,"-","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"Poz-57847",2270,30,"-","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36074",2255,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36075",2295,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36076",2240,35,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36077",2265,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","object","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36078",2280,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36079",2165,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","object; slag","de Saulieu et al. 2015: 405 Tab. 1; Garcin et al. 2018"
"SacA-36080",2255,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36081",2245,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"SacA-36082",2290,30,"Charcoal_endocarp_elaeis","CMR","A","Nya Zanga",2.5,12.02,"Ib relevant dates, medium archaeological context","-","indet","-","de Saulieu et al. 2015: 406 Tab. 1, 409 Fig. 4; Garcin et al. 2018"
"Hv-10832",1990,95,"-","CMR","A","Obobogo",3.82,11.5,"Ib relevant dates, medium archaeological context","-","indet","-","de Maret 1992a: 255; Eggert 1993; Leka 2013: Annex 4"
"Beta-182556",330,50,"-","CMR","A","Obokoue",3.65,11.35,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Beta-31410",2810,100,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-31411",2710,130,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-31412",1860,70,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-31413",1960,80,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-31414",2820,70,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-31534",2110,60,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-32228",2150,80,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1; Leka 2013: Annex 4; Garcin et al. 2018"
"Beta-32264",2200,60,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.1"
"Ly-4976",2150,60,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.2; Garcin et al. 2018"
"Ly-4977",2185,110,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.2; Clist 2004/2005; Leka 2013: Annex 4; Garcin et al. 2018"
"Ly-4978",2380,110,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.2; Leka 2013: Annex 4; Garcin et al. 2018"
"Ly-4979",1945,250,"-","CMR","A","Oliga",3.9,11.5,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 219; Essomba 1998: 238 Tab. 14.2; Leka 2013: Annex 4;"
"SacA-36083",1745,30,"Charcoal","CMR","A","Oloundou",2.48,12.09,"Ib relevant dates, medium archaeological context","-","-","slag","de Saulieu et al. 2015: 405 Tab. 1, 412; Garcin et al. 2018"
"Beta-182570",2240,100,"-","CMR","A","Ongot",3.85,11.38,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Beta-182571",1410,60,"-","CMR","A","Ongot",3.85,11.38,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Ly-10513",2000,45,"Charcoal","CMR","A","Ouélé Maroua",4.47,13.51,"Ib relevant dates, medium archaeological context","(indet)","indet","slag","Delneuf 2001: 16; Asombang et al. 2001"
"Beta-182561",1550,70,"-","CMR","A","Ozom",3.91,11.42,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Ly-4025",110,100,"-","CMR","A","Pan Maguenda",4.92,11.03,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 303 Tab. 21; Essomba 1988"
"Ly-4026",330,130,"-","CMR","A","Pan Maguenda",4.92,11.03,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 303 Tab. 21; Essomba 1988"
"Ly-4027",290,120,"-","CMR","A","Pan Nsas",4.92,11.03,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 304 Tab. 22; Essomba 1988"
"Ly-4028",200,120,"-","CMR","A","Pan Nsas",4.92,11.03,"Ib relevant dates, medium archaeological context","-","-","slag","Essomba 1991: 303 Tab. 21; Essomba 1988"
"Beta-182554",920,120,"-","CMR","A","Pangar",5.64,13.72,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery et al. 2010"
"OBDY-1487",510,50,"Charcoal","CMR","A","Safa CAM Site",3.79,10.02,"Ib relevant dates, medium archaeological context","-","indet","-","Wirrmann/Elouga 1998: 18 Tab. 1-2"
"OBDY-1488",420,50,"Charcoal","CMR","A","Safa CAM Site",3.79,10.02,"Ib relevant dates, medium archaeological context","-","indet","-","Wirrmann/Elouga 1998: 18 Tab. 1-2"
"Poz-62625",1750,30,"-","CMR","A","SFID logging concession (Area2 T4)",4.01,14.18,"Ib relevant dates, medium archaeological context","-","indet","-","Vleminckx et al. 2014; Garcin et al. 2018"
"Poz-62626",1800,30,"-","CMR","A","SFID logging concession (Area2 T4)",4.01,14.18,"Ib relevant dates, medium archaeological context","-","indet","-","Vleminckx et al. 2014; Garcin et al. 2018"
"Beta-51834",3180,80,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery/Cornelissen 2000"
"Beta-51835",200,60,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","-","Lavachery/Cornelissen 2000"
"Beta-51836",2150,110,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","object","Lavachery/Cornelissen 2000"
"Beta-51837",1360,80,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","object","Lavachery/Cornelissen 2000"
"BM-2495",40,40,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","-","Lavachery/Cornelissen 2000"
"Hv-10587",885,55,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","object","Lavachery/Cornelissen 2000"
"Hv-10588",1690,55,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","object","de Maret 1992a"
"OxA-5201",1310,65,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","(indet)","indet","object","Lavachery/Cornelissen 2000"
"OxA-5204",3300,90,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery/Cornelissen 2000"
"OxA-5205",3045,60,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery/Cornelissen 2000"
"OxA-5206",3025,60,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","indet","indet","-","Lavachery/Cornelissen 2000"
"OxA-5207",2940,60,"Charcoal","CMR","A","Shum Laka",5.86,10.08,"Ib relevant dates, medium archaeological context","indet","indet","-","Zangato 2000"
"Ly-70122",1805,35,"Charcoal_endocarp_elaeis","CMR","A","Wantamo/Pk 2/4 225",4.78,14.27,"Ib relevant dates, medium archaeological context","-","-","slag","Asombang et al. 2001: 5; Garcin et al. 2018"
"Ly-70723",1795,35,"Charcoal_endocarp_elaeis","CMR","A","Wantamo/Pk 2/4 225",4.78,14.27,"Ib relevant dates, medium archaeological context","-","-","slag","Asombang et al. 2001: 5; Garcin et al. 2018"
"Poz-49330",145,30,"-","CMR","A","Wijma logging concession (Area3 T1)",2.29,10.43,"Ib relevant dates, medium archaeological context","-","indet","-","Vleminckx et al. 2014; Garcin et al. 2018"
"Poz-49323",260,30,"-","CMR","A","Wijma logging concession (Area3 T3)",2.46,10.66,"Ib relevant dates, medium archaeological context","-","indet","-","Vleminckx et al. 2014; Garcin et al. 2018"
"Poz-49324",1800,30,"-","CMR","A","Wijma logging concession (Area3 T3)",2.46,10.66,"Ib relevant dates, medium archaeological context","-","indet","-","Vleminckx et al. 2014; Garcin et al. 2018"
"KIA-12941",1227,36,"Charcoal","CMR","A","Yatou",3.63,9.82,"Ib relevant dates, medium archaeological context","-","indet","-","Eggert 2002; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-12942",1974,26,"Charcoal","CMR","A","Yatou",3.63,9.82,"Ib relevant dates, medium archaeological context","-","indet","-","Eggert 2002; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24749",1985,26,"Charcoal","CMR","A","Yatou",3.63,9.82,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24750/1",1964,28,"-","CMR","A","Yatou",3.63,9.82,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007: 47; Eggert/Seidensticker 2016:81 Tab. 4.2"
"KIA-24751",1974,26,"Charcoal","CMR","A","Yatou",3.63,9.82,"Ib relevant dates, medium archaeological context","-","indet","-","Meister 2007; Eggert/Seidensticker 2016:81 Tab. 4.2"
"Beta-182545",240,60,"-","CMR","A","Yebi",4.97,13.32,"Ib relevant dates, medium archaeological context","-","indet","slag","Lavachery et al. 2010"
"Beta-182579",2630,70,"-","CMR","A","Zili",4.49,11.98,"Ib relevant dates, medium archaeological context","indet","indet","indet","Lavachery et al. 2005; Eggert et al. 2006: 277 Tab. 2"
"Beta-182560",2170,70,"-","CMR","A","Zoatoupsi",3.81,11.39,"Ib relevant dates, medium archaeological context","-","indet","-","Lavachery et al. 2010"
"Gif-11118",500,20,"Charcoal_endocarp_elaeis","CMR","A","Kokobuma 1",5.42,9.65,"Ic relevant dates, poor archaeological context","-","-","-","Oslisly et al. 2000: 351 Tab. 1"
"KIA-45499",1980,25,"Charcoal_endocarp_canarium","CMR","A","Messok",3.08,14.06,"Ic relevant dates, poor archaeological context","-","-","-","Morin-Rivat et al. 2014: 212 Tab. 1"
"LOCEAN-122",2242,43,"-","CMR","A","Nditam",5.34,11.33,"Ic relevant dates, poor archaeological context","-","-","-","Leka 2013: Annex 4"
"LOCEAN-157",2637,46,"-","CMR","A","Ngoume",5.48,11.4,"Ic relevant dates, poor archaeological context","-","-","-","Leka 2013: Annex 4"
"Ly-10512",1790,40,"Charcoal","CMR","A","Ouélé Maroua",4.47,13.51,"Ic relevant dates, poor archaeological context","-","-","-","Delneuf 2001: 16; Asombang et al. 2001"
"Beta-15800",222,70,"-","CMR","A","Pong Solo",4.12,11.28,"Ic relevant dates, poor archaeological context","-","-","-","Elouga 1998: 222"
"KSU-503",0,0,"Bone_animal","CMR","A","Sangmelima",2.94,11.99,"Id relevant dates, strong proxy for human activity (charred fruit remains but no artefacts)","-","-","-","Hori et al. 1986"
"Ly-958",3730,55,"-","CMR","A","Kong",5.69,12,"IIa irrelevant dates, related to lithic artefacts only","indet","(indet)","(slag)","Delneuf et al. 2003: 140, 141 Fig. 2"
"Beta-169185",410,50,"-","CMR","A","Akok Benyat 2",2.4,10.07,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","indet","-","-","Oslisly et al. 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Beta-169186",1070,60,"-","CMR","A","Akok Benyat 2",2.4,10.07,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","indet","-","-","Oslisly et al. 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Beta-169187",3650,70,"-","CMR","A","Akok Benyat 2",2.4,10.07,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","indet","-","-","Oslisly et al. 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2"
"Gif-????",1280,80,"Charcoal","CMR","A","Bankouop",5.63,10.58,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","-","-","Holl 1991: 194f. Tab. 1; Garcin et al. 2018"
"KIA-33072",1705,25,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Campo)","(object)","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-33077",1184,22,"Charcoal","CMR","A","Campo",2.38,9.83,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Campo)","(object)","Meister/Eggert 2008; Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-34091",895,25,"Charcoal","CMR","A","Campo",2.38,9.83,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Campo)","(object)","Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-34092",1185,25,"Charcoal","CMR","A","Campo",2.38,9.83,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Campo)","(object)","Eggert/Seidensticker 2016:64 Tab. 4.1"
"KIA-34093",2305,30,"Charcoal_endocarp_elaeis","CMR","A","Campo",2.38,9.83,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Campo)","(object)","Eggert/Seidensticker 2016:64 Tab. 4.1"
"Poz-74507",165,30,"-","CMR","A","Dibamba",4,9.82,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Dibamba E)","-","de Saulieu et al. 2017: 25 Tab. 1"
"Beta-165712",1280,70,"-","CMR","A","Eboundja 3",2.79,9.89,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","-","-","Nlend Nlend 2013/2014: 179"
"Poz-41773",1870,30,"Charcoal_wood","CMR","A","Mbol",3.5,14.98,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","(indet)","-","-","Morin-Rivat et al. 2014: 212 Tab. 1"
"Beta-12858",1920,60,"-","CMR","A","Mfomakap/Nkometou",4.05,11.55,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","-","-","Garcin et al. 2018"
"Erl-14116",831,46,"Charcoal","CMR","A","Mouanko-Lobethal",3.64,9.78,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","(Bidjouka)","object","Eggert/Seidensticker 2016:81 Tab. 4.2"
"Hv-12840",1020,20,"Charcoal_wood","CMR","A","Ndindan",3.91,11.5,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","indet","-","Mbida Mindzie 1992; Delneuf et al. 1998: 350"
"Hv-10580",2055,70,"Charcoal","CMR","A","Obobogo",3.82,11.5,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","-","-","de Maret 1992a: 255; Leka 2013: Annex 4"
"Hv-10852",2900,110,"Charcoal","CMR","A","Obobogo",3.82,11.5,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","indet","-","de Maret 1992a"
"Hv-11046",3625,165,"Charcoal","CMR","A","Obobogo",3.82,11.5,"IIb irrelevant dates, doubtful archaeological context (post-depositional mixing)","-","indet","slag","de Maret 1992a: 255; Eggert 1993; Clist 2012a: 78; Leka 2013: Annex 4"
